model,sample_rows,features_used,R2,MAE,RMSE
HistGradientBoosting Regression,50000,13,0.7213623325297533,0.008475468518135736,0.0112641512138007
Polynomial Ridge degree=2,50000,10,0.653487876860147,0.00955304208843882,0.012561392203358333
Ridge Regression,50000,59,0.5783971887683728,0.010678993099932324,0.013855758591539449
Multiple Linear Regression,50000,59,0.5783968262899999,0.01067912523645848,0.013855764547870401
SGD ElasticNet Regression,50000,59,0.5716831095385213,0.01077563489645309,0.013965650182909274
